Year,Distance,Engine_capacity(cm3),Age,km_year
2018,59000.0,1500.0,4,14750.0
1991,80000.0,2000.0,31,2580.6451612903224
2013,170000.0,2000.0,9,18888.88888888889
2007,145000.0,1400.0,15,9666.666666666666
2011,98871.0,1500.0,11,8988.272727272728
2012,110000.0,2700.0,10,11000.0
2013,92532.0,3000.0,9,10281.333333333334
2005,22000.0,1400.0,17,1294.1176470588234
2007,210000.0,1400.0,15,14000.0
2010,177429.0,1400.0,12,14785.75
1997,260000.0,1400.0,25,10400.0
2016,49000.0,1200.0,6,8166.666666666667
2006,177000.0,3200.0,16,11062.5
2012,179377.0,1800.0,10,17937.7
2007,264000.0,1995.0,15,17600.0
2007,266000.0,1300.0,15,17733.333333333332
2001,290000.0,1900.0,21,13809.52380952381
2001,300000.0,2300.0,21,14285.714285714286
2008,200000.0,1900.0,14,14285.714285714286
2009,261255.0,1800.0,13,20096.53846153846
2012,94171.0,1329.0,10,9417.1
2009,190000.0,3000.0,13,14615.384615384615
2009,201214.0,1400.0,13,15478.0
2018,135200.0,1500.0,4,33800.0
1991,300000.0,2000.0,31,9677.41935483871
2004,100000.0,1400.0,18,5555.555555555556
2015,170000.0,1300.0,7,24285.714285714286
2016,149705.0,1600.0,6,24950.83333333333
1996,270000.0,1600.0,26,10384.615384615385
2009,185000.0,1400.0,13,14230.76923076923
2010,200000.0,1400.0,12,16666.666666666668
2018,45000.0,1200.0,4,11250.0
2017,73792.0,2500.0,5,14758.4
2008,140000.0,3000.0,14,10000.0
2014,156700.0,2200.0,8,19587.5
2017,61000.0,2000.0,5,12200.0
2009,334000.0,2000.0,13,25692.30769230769
2018,32000.0,2900.0,4,8000.0
2015,17150.0,1000.0,7,2450.0
2012,157700.0,1999.0,10,15770.0
2004,250000.0,1500.0,18,13888.888888888889
2016,100000.0,3000.0,6,16666.666666666668
2011,120000.0,1500.0,11,10909.09090909091
2014,180000.0,1200.0,8,22500.0
2015,160000.0,1364.0,7,22857.14285714286
1990,42000.0,2400.0,32,1312.5
2007,220000.0,2000.0,15,14666.666666666666
2011,253000.0,1500.0,11,23000.0
2014,166000.0,1798.0,8,20750.0
2012,125000.0,1500.0,10,12500.0
2006,21000.0,2000.0,16,1312.5
2007,190000.0,1400.0,15,12666.666666666666
2015,160000.0,1500.0,7,22857.14285714286
2007,200000.0,2200.0,15,13333.333333333334
2006,189000.0,3000.0,16,11812.5
2008,230000.0,1000.0,14,16428.571428571428
2001,33333.0,1800.0,21,1587.2857142857142
2001,190000.0,1200.0,21,9047.619047619048
2005,200000.0,1500.0,17,11764.70588235294
2007,470000.0,1500.0,15,31333.33333333333
2010,174000.0,2000.0,12,14500.0
2019,65000.0,2993.0,3,21666.666666666668
2016,50000.0,1950.0,6,8333.333333333334
2001,260000.0,2200.0,21,12380.952380952382
2018,138966.0,1500.0,4,34741.5
2010,230000.0,1500.0,12,19166.666666666668
2006,240000.0,2000.0,16,15000.0
2015,212714.0,1995.0,7,30387.714285714286
2007,300000.0,4200.0,15,20000.0
2011,122000.0,1400.0,11,11090.90909090909
2009,123500.0,2000.0,13,9500.0
2015,40000.0,3000.0,7,5714.285714285715
2018,49125.0,2000.0,4,12281.25
2008,30999.0,1400.0,14,2214.214285714286
2013,208000.0,2400.0,9,23111.11111111111
2005,232000.0,1600.0,17,13647.058823529413
2007,134000.0,2200.0,15,8933.333333333334
2001,25123.0,2200.0,21,1196.3333333333333
2016,80000.0,1600.0,6,13333.333333333334
2017,35727.0,2000.0,5,7145.4
2005,450000.0,3200.0,17,26470.58823529412
2006,135000.0,1300.0,16,8437.5
2003,169000.0,2000.0,19,8894.736842105263
2015,68000.0,2000.0,7,9714.285714285714
2003,395000.0,1898.0,19,20789.473684210527
2014,78000.0,1600.0,8,9750.0
2011,179000.0,1463.0,11,16272.727272727272
2003,11111.0,3724.0,19,584.7894736842105
2013,104109.0,1300.0,9,11567.666666666666
2010,160000.0,1500.0,12,13333.333333333334
2017,181938.0,2967.0,5,36387.6
2006,198210.0,1300.0,16,12388.125
2013,175000.0,2800.0,9,19444.444444444445
2009,194000.0,1400.0,13,14923.076923076924
2015,100000.0,1600.0,7,14285.714285714286
1993,10000.0,1800.0,29,344.82758620689657
2014,169000.0,2200.0,8,21125.0
2002,265000.0,2200.0,20,13250.0
2014,221700.0,2143.0,8,27712.5
2001,200200.0,1800.0,21,9533.333333333334
2015,194000.0,1400.0,7,27714.285714285717
2015,75000.0,1997.0,7,10714.285714285714
2016,139000.0,2200.0,6,23166.666666666668
2013,192535.0,2000.0,9,21392.777777777777
2003,340000.0,1600.0,19,17894.736842105263
2013,210000.0,1500.0,9,23333.33333333333
2002,450000.0,2500.0,20,22500.0
1993,300000.0,1600.0,29,10344.827586206897
2003,160000.0,1400.0,19,8421.052631578947
2007,262000.0,1900.0,15,17466.666666666668
2014,50000.0,3000.0,8,6250.0
2008,165000.0,1400.0,14,11785.714285714286
2013,141400.0,2400.0,9,15711.111111111111
2015,134000.0,2000.0,7,19142.85714285714
1991,299290.0,1595.0,31,9654.516129032258
2014,136000.0,3000.0,8,17000.0
2003,459000.0,2700.0,19,24157.894736842107
2014,204352.0,2000.0,8,25544.0
2005,4114.0,1500.0,17,242.0
2003,357000.0,2500.0,19,18789.473684210527
2017,147000.0,2500.0,5,29400.0
2013,98000.0,3000.0,9,10888.888888888889
2011,183000.0,1498.0,11,16636.363636363636
2016,141000.0,1600.0,6,23500.0
2017,130000.0,1500.0,5,26000.0
1988,192200.0,2400.0,34,5652.941176470588
2001,357000.0,1299.0,21,17000.0
2008,287000.0,2500.0,14,20500.0
2007,91000.0,1400.0,15,6066.666666666667
2018,33000.0,1800.0,4,8250.0
2005,222222.0,1900.0,17,13071.882352941177
2007,165000.0,1600.0,15,11000.0
2005,240000.0,1400.0,17,14117.64705882353
2005,200000.0,1200.0,17,11764.70588235294
2006,390000.0,3200.0,16,24375.0
2012,210000.0,1998.0,10,21000.0
2004,132000.0,1500.0,18,7333.333333333333
2000,215000.0,1900.0,22,9772.727272727272
2003,400000.0,2000.0,19,21052.63157894737
2001,235000.0,2000.0,21,11190.47619047619
2004,224000.0,1400.0,18,12444.444444444443
2007,350000.0,1800.0,15,23333.33333333333
2004,2899.0,2500.0,18,161.05555555555554
2014,200000.0,1800.0,8,25000.0
2003,251000.0,1400.0,19,13210.526315789471
2019,23800.0,1600.0,3,7933.333333333333
2009,123000.0,2500.0,13,9461.53846153846
2013,210000.0,1500.0,9,23333.33333333333
2019,13300.0,999.0,3,4433.333333333333
2017,200000.0,1998.0,5,40000.0
2007,175000.0,1800.0,15,11666.666666666666
2006,2440.0,1500.0,16,152.5
2016,144249.0,1500.0,6,24041.5
2012,156000.0,1400.0,10,15600.0
1996,123456.0,2500.0,26,4748.307692307692
2004,227854.0,3000.0,18,12658.555555555557
2006,267000.0,2200.0,16,16687.5
2002,240471.0,1000.0,20,12023.55
1981,11111.0,1600.0,41,271.0
2009,190000.0,3000.0,13,14615.384615384615
2007,185000.0,1900.0,15,12333.333333333334
2017,45000.0,1600.0,5,9000.0
2015,166456.0,2967.0,7,23779.42857142857
2011,245000.0,3000.0,11,22272.727272727272
2013,135000.0,1600.0,9,15000.0
2011,160000.0,1300.0,11,14545.454545454546
2014,176185.0,1364.0,8,22023.125
2011,192000.0,1400.0,11,17454.545454545456
2019,55890.0,1500.0,3,18630.0
2011,150000.0,800.0,11,13636.363636363636
2016,110000.0,3000.0,6,18333.33333333333
2013,114000.0,1400.0,9,12666.666666666666
2013,170000.0,900.0,9,18888.88888888889
2013,114000.0,1400.0,9,12666.666666666666
2005,217000.0,1986.0,17,12764.70588235294
2017,55000.0,1600.0,5,11000.0
2017,155100.0,1500.0,5,31020.0
1996,35000.0,1800.0,26,1346.1538461538462
2006,125000.0,1500.0,16,7812.5
2008,217000.0,1800.0,14,15500.0
2006,152908.0,1400.0,16,9556.75
2015,170000.0,2000.0,7,24285.714285714286
2017,140000.0,1500.0,5,28000.0
2011,170000.0,1500.0,11,15454.545454545454
2011,180000.0,1200.0,11,16363.636363636364
2009,170000.0,1500.0,13,13076.923076923076
2009,120000.0,2500.0,13,9230.76923076923
2004,325000.0,300.0,18,18055.555555555555
2016,116994.0,2500.0,6,19499.0
2006,95000.0,1600.0,16,5937.5
1998,280121.0,2800.0,24,11671.708333333334
2013,152900.0,2000.0,9,16988.88888888889
2008,185000.0,1500.0,14,13214.285714285714
2005,241000.0,2500.0,17,14176.470588235294
2005,200000.0,1400.0,17,11764.70588235294
2011,187000.0,2200.0,11,17000.0
2017,132000.0,2199.0,5,26400.0
1993,300000.0,1800.0,29,10344.827586206897
2005,290000.0,1900.0,17,17058.823529411766
2012,147000.0,2499.0,10,14700.0
1993,317240.0,2000.0,29,10939.310344827589
