Year,Distance,Engine_capacity(cm3),Price(euro),Age,km_year
2011,195000.0,1800.0,7750.0,11,17727.272727272728
2014,135000.0,1500.0,8550.0,8,16875.0
2012,110000.0,1500.0,6550.0,10,11000.0
2006,200000.0,1600.0,4100.0,16,12500.0
2000,300000.0,2200.0,3490.0,22,13636.363636363636
2010,290000.0,1390.0,5600.0,12,24166.666666666668
2010,220000.0,2400.0,17000.0,12,18333.333333333332
1991,240000.0,2300.0,2850.0,31,7741.935483870968
2004,325000.0,300.0,3400.0,18,18055.555555555555
2010,210000.0,2200.0,11400.0,12,17500.0
2006,300000.0,3200.0,11800.0,16,18750.0
1998,285000.0,3500.0,3990.0,24,11875.0
2007,238371.0,1400.0,5000.0,15,15891.4
2010,150000.0,1200.0,5500.0,12,12500.0
2012,180000.0,2400.0,15900.0,10,18000.0
2011,251000.0,1500.0,8300.0,11,22818.18181818182
2005,383000.0,1500.0,3200.0,17,22529.41176470588
2009,248000.0,2000.0,9299.0,13,19076.923076923078
2004,315000.0,1800.0,6900.0,18,17500.0
1992,68000.0,2445.0,2222.0,30,2266.6666666666665
2011,171000.0,1500.0,5700.0,11,15545.454545454546
2013,113000.0,367.0,27000.0,9,12555.555555555555
2014,275500.0,2200.0,18350.0,8,34437.5
2017,157000.0,1998.0,17800.0,5,31400.0
2017,76000.0,1998.0,27999.0,5,15200.0
2008,113486.0,1998.0,4495.0,14,8106.142857142857
1993,235000.0,2000.0,2950.0,29,8103.448275862069
2012,253444.0,3000.0,30222.0,10,25344.4
2009,250000.0,3500.0,17990.0,13,19230.76923076923
2012,179000.0,1400.0,9800.0,10,17900.0
2015,169777.0,2000.0,16888.0,7,24253.85714285714
2017,71333.0,2500.0,43404.0,5,14266.6
1994,340000.0,1800.0,1500.0,28,12142.857142857143
2007,300000.0,3000.0,11500.0,15,20000.0
2004,280000.0,200.0,5300.0,18,15555.555555555555
2010,228000.0,1400.0,5700.0,12,19000.0
2010,185000.0,1400.0,6500.0,12,15416.666666666666
2009,200415.0,1500.0,6200.0,13,15416.538461538461
2016,136000.0,2000.0,13200.0,6,22666.666666666668
2003,250000.0,3000.0,7490.0,19,13157.894736842105
2014,195000.0,1200.0,3999.0,8,24375.0
