iter	RMSE
0	6921.422448
1	5650.99857
2	5096.180083
3	4823.985721
4	4706.016586
5	4631.185083
6	4586.277335
7	4561.071438
8	4531.811195
9	4515.038025
10	4496.923902
11	4471.9881
12	4463.325948
13	4453.038623
14	4435.113099
15	4430.774033
16	4422.464791
17	4410.439253
18	4399.021768
19	4380.898108
20	4369.882577
21	4360.676405
22	4344.569101
23	4340.158376
24	4332.053676
25	4321.694877
26	4312.029804
27	4299.483411
28	4289.738743
29	4283.958284
30	4281.677773
31	4272.288625
32	4264.438413
33	4257.538239
34	4252.149566
35	4240.108132
36	4230.859744
37	4218.380954
38	4212.61111
39	4206.136531
40	4198.358579
41	4194.506139
42	4190.192136
43	4184.313148
44	4175.801592
45	4165.683955
46	4157.179066
47	4148.68645
48	4146.62923
49	4135.881954
50	4128.21761
51	4123.448126
52	4119.152781
53	4106.256642
54	4103.976601
55	4099.087053
56	4088.710456
57	4080.543504
58	4074.935621
59	4070.760711
60	4067.34098
61	4059.031404
62	4048.552599
63	4042.04963
64	4039.977904
65	4032.389394
66	4030.75086
67	4024.295102
68	4021.31395
69	4018.315388
70	4012.039561
71	4008.860315
72	4003.749248
73	4002.014037
74	3999.334922
75	3991.582342
76	3987.17146
77	3983.739759
78	3974.325229
79	3971.58265
80	3969.34245
81	3968.49986
82	3967.206865
83	3964.379503
84	3959.337517
85	3955.468911
86	3953.259174
87	3948.330319
88	3946.208499
89	3942.516208
90	3937.161176
91	3934.829974
92	3930.475637
93	3925.346654
94	3920.249863
95	3918.91041
96	3916.118573
97	3915.141383
98	3911.324763
99	3909.135666
