iter	Passed	Remaining
0	87	8669
1	136	6688
2	173	5612
3	213	5135
4	252	4805
5	280	4396
6	300	3986
7	324	3726
8	354	3581
9	375	3377
10	404	3275
11	416	3056
12	456	3058
13	475	2918
14	490	2777
15	513	2697
16	547	2670
17	563	2567
18	587	2506
19	609	2436
20	643	2420
21	678	2404
22	720	2413
23	741	2348
24	768	2306
25	792	2255
26	807	2183
27	816	2098
28	823	2015
29	835	1950
30	842	1875
31	850	1806
32	856	1738
33	871	1691
34	879	1633
35	888	1580
36	896	1525
37	907	1480
38	924	1445
39	932	1399
40	940	1353
41	962	1329
42	970	1286
43	986	1256
44	993	1214
45	1000	1174
46	1017	1147
47	1024	1109
48	1030	1072
49	1048	1048
50	1057	1016
51	1082	999
52	1106	981
53	1117	951
54	1137	930
55	1144	899
56	1150	868
57	1166	844
58	1174	816
59	1183	788
60	1196	764
61	1205	738
62	1214	713
63	1228	690
64	1246	671
65	1273	656
66	1292	636
67	1312	617
68	1329	597
69	1340	574
70	1362	556
71	1372	533
72	1393	515
73	1400	492
74	1420	473
75	1447	457
76	1469	439
77	1481	417
78	1503	399
79	1526	381
80	1556	365
81	1575	345
82	1596	327
83	1613	307
84	1631	287
85	1675	272
86	1715	256
87	1726	235
88	1750	216
89	1777	197
90	1790	177
91	1811	157
92	1824	137
93	1845	117
94	1860	97
95	1881	78
96	1908	59
97	1919	39
98	1943	19
99	1956	0
